time	species	protein	transcript	ribo_density
0	__protein10_rbs	0.0	0.0	0.0
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__protein4_rbs	0.0	0.0	0.0
0	__protein5_rbs	0.0	0.0	0.0
0	__protein6_rbs	0.0	0.0	0.0
0	__protein7_rbs	0.0	0.0	0.0
0	__protein8_rbs	0.0	0.0	0.0
0	__protein9_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein10_rbs	0.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__protein4_rbs	0.0	0.0	0.0
1	__protein5_rbs	0.0	0.0	0.0
1	__protein6_rbs	0.0	0.0	0.0
1	__protein7_rbs	0.0	0.0	0.0
1	__protein8_rbs	0.0	0.0	0.0
1	__protein9_rbs	0.0	0.0	0.0
1	__ribosome	60.0	0.0	0.0
1	__rnase_site_ext	0.4	0.0	0.0
1	p0	0.1	0.0	0.0
1	rnapol	1.8	0.0	0.0
2	__protein10_rbs	0.0	0.0	0.0
2	__protein1_rbs	0.2	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__protein4_rbs	0.0	0.0	0.0
2	__protein5_rbs	0.0	0.0	0.0
2	__protein6_rbs	0.0	0.0	0.0
2	__protein7_rbs	0.0	0.0	0.0
2	__protein8_rbs	0.0	0.0	0.0
2	__protein9_rbs	0.0	0.0	0.0
2	__ribosome	120.0	0.0	0.0
2	__rnase_site_ext	0.8	0.0	0.0
2	p0	0.5	0.0	0.0
2	protein1	0.0	0.2	0.0
2	rnapol	3.6	0.0	0.0
3	__protein10_rbs	0.0	0.0	0.0
3	__protein1_rbs	0.1	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__protein4_rbs	0.0	0.0	0.0
3	__protein5_rbs	0.0	0.0	0.0
3	__protein6_rbs	0.0	0.0	0.0
3	__protein7_rbs	0.0	0.0	0.0
3	__protein8_rbs	0.0	0.0	0.0
3	__protein9_rbs	0.0	0.0	0.0
3	__ribosome	119.5	0.0	0.0
3	__rnase_site_ext	1.2	0.0	0.0
3	p0	0.5	0.0	0.0
3	protein1	0.0	0.6	0.5
3	rnapol	3.3	0.0	0.0
4	__protein10_rbs	0.0	0.0	0.0
4	__protein1_rbs	0.3	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__protein4_rbs	0.0	0.0	0.0
4	__protein5_rbs	0.0	0.0	0.0
4	__protein6_rbs	0.0	0.0	0.0
4	__protein7_rbs	0.0	0.0	0.0
4	__protein8_rbs	0.0	0.0	0.0
4	__protein9_rbs	0.0	0.0	0.0
4	__ribosome	98.9	0.0	0.0
4	__rnase_site_ext	1.9	0.0	0.0
4	p0	0.5	0.0	0.0
4	protein1	0.0	0.9	1.05
4	rnapol	2.1	0.0	0.0
5	__protein10_rbs	0.0	0.0	0.0
5	__protein1_rbs	0.6	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__protein4_rbs	0.0	0.0	0.0
5	__protein5_rbs	0.0	0.0	0.0
5	__protein6_rbs	0.0	0.0	0.0
5	__protein7_rbs	0.0	0.0	0.0
5	__protein8_rbs	0.0	0.0	0.0
5	__protein9_rbs	0.0	0.0	0.0
5	__ribosome	98.0	0.0	0.0
5	__rnase_site_ext	2.1	0.0	0.0
5	p0	0.7	0.0	0.0
5	protein1	0.0	1.5	1.4
5	rnapol	1.7	0.0	0.0
6	__protein10_rbs	0.0	0.0	0.0
6	__protein1_rbs	0.4	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__protein4_rbs	0.0	0.0	0.0
6	__protein5_rbs	0.0	0.0	0.0
6	__protein6_rbs	0.0	0.0	0.0
6	__protein7_rbs	0.0	0.0	0.0
6	__protein8_rbs	0.0	0.0	0.0
