Iteration	NRMSE	Accepted
0	0.46168210606363047	yes
1	0.48031053257761175	yes
2	0.4812618492781959	yes
3	0.43004294397222065	yes
4	0.4264361560929712	yes
5	0.42026662460440684	yes
6	0.4219050027551256	yes
7	0.4291620190233047	yes
8	0.47626991724914386	no
9	0.4100248058068168	yes
10	0.4021736915558753	yes
11	0.36034775064506674	yes
12	0.3929213212791283	no
13	0.3805272445754726	yes
14	0.3515415083351027	yes
15	0.35345263352353423	yes
16	0.3774324053649418	yes
17	0.3928718462345803	no
18	0.3911139980876824	no
19	0.3727716499287624	yes
20	0.3523200804852494	yes
21	0.3875168994220455	no
22	0.3849107841644632	yes
23	0.3608604871150887	yes
24	0.3591517446537676	yes
25	0.33579151974890004	yes
26	0.3596462500905296	no
27	0.34520542020479966	no
28	0.35782517835766875	no
29	0.39838307318032923	no
30	0.37699157336991435	no
31	0.37925935297894026	no
32	0.40453027611298326	yes
33	0.4025182955876825	yes
34	0.42198556839627877	no
35	0.39110069354484417	yes
36	0.3025046747350629	yes
37	0.30817412599506544	yes
38	0.29789900451368884	yes
39	0.3024957940643952	yes
40	0.30658928973287547	yes
41	0.31217113880555636	yes
42	0.31807785592695853	yes
43	0.30474759322800876	yes
44	0.31983674598893214	yes
45	0.30068279360213623	yes
46	0.320471143337604	yes
47	0.333394684063757	yes
48	0.3331477288089226	yes
49	0.3365201155894902	yes
50	0.31998377840184905	yes
51	0.30623587967662597	yes
52	0.3247425670124957	yes
53	0.3351893895559992	yes
54	0.3304890528871043	yes
55	0.3781793349257445	yes
56	0.34846967531896	yes
57	0.3595645333508404	yes
58	0.3673420402522784	yes
59	0.35457713677846997	yes
60	0.3841568470890313	no
61	0.34681389702507265	yes
62	0.3568146189717693	yes
63	0.3715606653517343	yes
64	0.35055537691106897	yes
65	0.3661897262150113	yes
66	0.46419575640786315	no
67	0.3623434909553447	yes
68	0.361536773835347	yes
69	0.3670665240773261	yes
70	0.3432062147307156	yes
71	0.33469208748673024	yes
72	0.34825710545563787	yes
73	0.32833496551065483	yes
74	0.3228799477164072	yes
75	0.34538907104774114	yes
76	0.3477172297630396	yes
77	0.3278808611741608	yes
78	0.34313196618726116	no
79	0.35640505836296393	no
80	0.346313799920744	yes
81	0.35932791629846705	yes
82	0.35698395425038654	yes
83	0.36717220320333227	yes
84	0.37751878741772105	yes
85	0.3569184309557663	yes
86	0.3709530879128649	yes
87	0.35990580186638227	yes
88	0.3635963495069281	yes
89	0.36601286903735536	yes
90	0.3451094229869544	yes
91	0.351542365717534	no
92	0.34726712100693974	yes
93	0.35510410420165517	yes
94	0.3343719581736731	yes
95	0.33936201042151276	yes
96	0.3464684283103005	yes
97	0.34489801961609085	yes
98	0.3510859790245831	no
99	0.3432121224525808	yes
100	0.33910541251250237	yes
101	0.34488209371370404	yes
102	0.34062672246118536	yes
103	0.3249555493102426	yes
104	0.3401903969143117	yes
105	0.341509102313474	yes
106	0.32856532473465094	yes
107	0.3520930485837231	no
108	0.337872221297169	yes
109	0.33155054728255173	yes
110	0.3583291569216384	yes
111	0.3539681902857636	yes
112	0.3373511674678631	yes
113	0.33248929137763694	yes
114	0.3356774393800821	yes
115	0.35436612321113964	no
116	0.3436572055559242	yes
117	0.3267797834184376	yes
118	0.28512414455671137	yes
119	0.29210714374042746	yes
120	0.23870235415208577	yes
121	0.23619970862824236	yes
122	0.25314665366138117	yes
123	0.24182919809301637	yes
124	0.24231592925185177	yes
125	0.23133604347952497	yes
126	0.23347325203603808	yes
127	0.2378901168188788	yes
128	0.23256168467349378	yes
129	0.23570056149116292	yes
130	0.23401662067066872	yes
131	0.23728892803875357	yes
132	0.2322672869839204	yes
133	0.22763201416086645	yes
134	0.23043646353483185	yes
135	0.23074215044092158	yes
136	0.22975490853120428	yes
137	0.23603478991084384	yes
138	0.23815457048616762	yes
139	0.24222834254765824	yes
140	0.23465456731836132	yes
141	0.2464858593547822	no
142	0.24319385239005842	yes
143	0.24990100310432842	yes
144	0.24417847668620066	yes
145	0.24043352519227568	yes
146	0.2425920923935849	yes
147	0.2515876950938551	yes
148	0.24551100672802653	yes
149	0.26389298905446906	yes
150	0.2499046867422133	yes
151	0.2826165581717413	no
152	0.2482760766706432	yes
153	0.24233594246967463	yes
154	0.24107580755896596	yes
155	0.2523298374656191	yes
156	0.24630624564818462	yes
157	0.23517631175311535	yes
158	0.23141256679855218	yes
159	0.24225683007223378	yes
160	0.24001715089432837	yes
