time	species	protein	transcript	ribo_density
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__ribosome	30.0	0.0	0.0
1	__rnase_site_ext	0.0	0.0	0.0
1	p0	0.0	0.0	0.0
1	rnapol	0.9	0.0	0.0
2	__protein1_rbs	0.0	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__ribosome	50.0	0.0	0.0
2	__rnase_site_ext	0.3	0.0	0.0
2	p0	0.2	0.0	0.0
2	rnapol	1.5	0.0	0.0
3	__protein1_rbs	0.1	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__ribosome	69.8	0.0	0.0
3	__rnase_site_ext	0.5	0.0	0.0
3	p0	0.3	0.0	0.0
3	protein1	0.0	0.3	0.2
3	rnapol	2.0	0.0	0.0
4	__protein1_rbs	0.2	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__ribosome	49.5	0.0	0.0
4	__rnase_site_ext	0.6	0.0	0.0
4	p0	0.3	0.0	0.0
4	protein1	0.0	0.5	0.4
4	rnapol	1.3	0.0	0.0
5	__protein1_rbs	0.3	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__ribosome	149.2	0.0	0.0
5	__rnase_site_ext	0.7	0.0	0.0
5	p0	0.4	0.0	0.0
5	protein1	0.0	0.6	0.65
5	rnapol	4.2	0.0	0.0
6	__protein1_rbs	0.3	0.0	0.0
6	__protein2_rbs	0.0	0.0	0.0
6	__protein3_rbs	0.0	0.0	0.0
6	__ribosome	68.8	0.0	0.0
6	__rnase_site_ext	1.1	0.0	0.0
6	p0	0.5	0.0	0.0
6	protein1	0.0	0.7	0.9
6	rnapol	1.7	0.0	0.0
7	__protein1_rbs	0.4	0.0	0.0
7	__protein2_rbs	0.0	0.0	0.0
7	__protein3_rbs	0.0	0.0	0.0
7	__ribosome	138.2	0.0	0.0
7	__rnase_site_ext	1.1	0.0	0.0
7	p0	0.6	0.0	0.0
7	protein1	0.0	1.0	1.1333333
7	rnapol	3.7	0.0	0.0
8	__protein1_rbs	0.8	0.0	0.0
8	__protein2_rbs	0.0	0.0	0.0
8	__protein3_rbs	0.0	0.0	0.0
8	__ribosome	78.0	0.0	0.0
8	__rnase_site_ext	1.4	0.0	0.0
8	p0	0.7	0.0	0.0
8	protein1	0.2	1.1	1.3
8	rnapol	1.8	0.0	0.0
9	__protein1_rbs	0.3	0.0	0.0
9	__protein2_rbs	0.0	0.0	0.0
9	__protein3_rbs	0.0	0.0	0.0
9	__ribosome	257.1	0.0	0.0
9	__rnase_site_ext	1.5	0.0	0.0
9	p0	0.7	0.0	0.0
9	protein1	0.5	1.4	1.625
9	rnapol	7.2	0.0	0.0
10	__protein1_rbs	0.2	0.0	0.0
10	__protein2_rbs	0.0	0.0	0.0
10	__protein3_rbs	0.0	0.0	0.0
10	__ribosome	96.2	0.0	0.0
10	__rnase_site_ext	1.7	0.0	0.0
10	p0	0.8	0.0	0.0
10	protein1	0.7	1.5	2.1166667
10	rnapol	2.4	0.0	0.0
11	__protein1_rbs	0.6	0.0	0.0
11	__protein2_rbs	0.1	0.0	0.0
11	__protein3_rbs	0.0	0.0	0.0
