time	species	transcript
1	protein1	0.12
1	protein2	0.11
1	protein3	0.1
1	protein4	0.09
1	protein5	0.08
1	protein6	0.07
1	protein7	0.06
1	protein8	0.05
1	protein9	0.04
1	protein10	0.03
2	protein1	0.24
2	protein2	0.22
2	protein3	0.2
2	protein4	0.18
2	protein5	0.16
2	protein6	0.14
2	protein7	0.12
2	protein8	0.1
2	protein9	0.08
2	protein10	0.06
3	protein1	0.36
3	protein2	0.33
3	protein3	0.30000000000000004
3	protein4	0.27
3	protein5	0.24
3	protein6	0.21000000000000002
3	protein7	0.18
3	protein8	0.15000000000000002
3	protein9	0.12
3	protein10	0.09
4	protein1	0.48
4	protein2	0.44
4	protein3	0.4
4	protein4	0.36
4	protein5	0.32
4	protein6	0.28
4	protein7	0.24
4	protein8	0.2
4	protein9	0.16
4	protein10	0.12
5	protein1	0.6
5	protein2	0.55
5	protein3	0.5
5	protein4	0.44999999999999996
5	protein5	0.4
5	protein6	0.35000000000000003
5	protein7	0.3
5	protein8	0.25
5	protein9	0.2
5	protein10	0.15
6	protein1	0.72
6	protein2	0.66
6	protein3	0.6000000000000001
6	protein4	0.54
6	protein5	0.48
6	protein6	0.42000000000000004
6	protein7	0.36
6	protein8	0.30000000000000004
6	protein9	0.24
6	protein10	0.18
7	protein1	0.84
7	protein2	0.77
7	protein3	0.7000000000000001
7	protein4	0.63
7	protein5	0.56
7	protein6	0.49000000000000005
7	protein7	0.42
7	protein8	0.35000000000000003
7	protein9	0.28
7	protein10	0.21
8	protein1	0.96
8	protein2	0.88
8	protein3	0.8
8	protein4	0.72
8	protein5	0.64
8	protein6	0.56
8	protein7	0.48
8	protein8	0.4
8	protein9	0.32
8	protein10	0.24
9	protein1	1.08
9	protein2	0.99
9	protein3	0.9
9	protein4	0.8099999999999999
9	protein5	0.72
9	protein6	0.6300000000000001
9	protein7	0.54
9	protein8	0.45
9	protein9	0.36
9	protein10	0.27
10	protein1	1.2
10	protein2	1.1
10	protein3	1.0
10	protein4	0.8999999999999999
10	protein5	0.8
10	protein6	0.7000000000000001
10	protein7	0.6
10	protein8	0.5
10	protein9	0.4
10	protein10	0.3
11	protein1	1.3199999999999998
11	protein2	1.21
11	protein3	1.1
11	protein4	0.99
11	protein5	0.88
11	protein6	0.77
11	protein7	0.6599999999999999
11	protein8	0.55
11	protein9	0.44
11	protein10	0.32999999999999996
12	protein1	1.44
12	protein2	1.32
12	protein3	1.2000000000000002
12	protein4	1.08
12	protein5	0.96
12	protein6	0.8400000000000001
12	protein7	0.72
12	protein8	0.6000000000000001
12	protein9	0.48
12	protein10	0.36
13	protein1	1.56
13	protein2	1.43
13	protein3	1.3
13	protein4	1.17
13	protein5	1.04
13	protein6	0.9100000000000001
13	protein7	0.78
13	protein8	0.65
13	protein9	0.52
13	protein10	0.39
14	protein1	1.68
14	protein2	1.54
14	protein3	1.4000000000000001
14	protein4	1.26
14	protein5	1.12
14	protein6	0.9800000000000001
14	protein7	0.84
14	protein8	0.7000000000000001
14	protein9	0.56
14	protein10	0.42
15	protein1	1.7999999999999998
15	protein2	1.65
15	protein3	1.5
15	protein4	1.3499999999999999
15	protein5	1.2
15	protein6	1.05
15	protein7	0.8999999999999999
15	protein8	0.75
15	protein9	0.6
15	protein10	0.44999999999999996
16	protein1	1.92
16	protein2	1.76
16	protein3	1.6
16	protein4	1.44
16	protein5	1.28
16	protein6	1.12
16	protein7	0.96
16	protein8	0.8
16	protein9	0.64
16	protein10	0.48
17	protein1	2.04
17	protein2	1.87
17	protein3	1.7000000000000002
17	protein4	1.53
17	protein5	1.36
17	protein6	1.1900000000000002
17	protein7	1.02
17	protein8	0.8500000000000001
17	protein9	0.68
17	protein10	0.51
18	protein1	2.16
18	protein2	1.98
18	protein3	1.8
18	protein4	1.6199999999999999
18	protein5	1.44
18	protein6	1.2600000000000002
18	protein7	1.08
18	protein8	0.9
18	protein9	0.72
18	protein10	0.54
19	protein1	2.28
19	protein2	2.09
19	protein3	1.9000000000000001
19	protein4	1.71
19	protein5	1.52
19	protein6	1.33
19	protein7	1.14
19	protein8	0.9500000000000001
19	protein9	0.76
19	protein10	0.57
20	protein1	2.4
20	protein2	2.2
20	protein3	2.0
20	protein4	1.7999999999999998
20	protein5	1.6
20	protein6	1.4000000000000001
20	protein7	1.2
20	protein8	1.0
20	protein9	0.8
20	protein10	0.6
21	protein1	2.52
21	protein2	2.31
21	protein3	2.1
21	protein4	1.89
21	protein5	1.68
21	protein6	1.4700000000000002
21	protein7	1.26
21	protein8	1.05
21	protein9	0.84
21	protein10	0.63
22	protein1	2.6399999999999997
22	protein2	2.42
22	protein3	2.2
22	protein4	1.98
22	protein5	1.76
22	protein6	1.54
22	protein7	1.3199999999999998
22	protein8	1.1
22	protein9	0.88
22	protein10	0.6599999999999999
23	protein1	2.76
23	protein2	2.53
23	protein3	2.3000000000000003
23	protein4	2.07
23	protein5	1.84
23	protein6	1.61
23	protein7	1.38
23	protein8	1.1500000000000001
23	protein9	0.92
23	protein10	0.69
24	protein1	2.88
24	protein2	2.64
24	protein3	2.4000000000000004
24	protein4	2.16
24	protein5	1.92
24	protein6	1.6800000000000002
24	protein7	1.44
24	protein8	1.2000000000000002
24	protein9	0.96
24	protein10	0.72
25	protein1	3.0
25	protein2	2.75
25	protein3	2.5
25	protein4	2.25
25	protein5	2.0
25	protein6	1.7500000000000002
25	protein7	1.5
25	protein8	1.25
25	protein9	1.0
25	protein10	0.75
26	protein1	3.12
26	protein2	2.86
26	protein3	2.6
26	protein4	2.34
26	protein5	2.08
26	protein6	1.8200000000000003
26	protein7	1.56
26	protein8	1.3
26	protein9	1.04
26	protein10	0.78
27	protein1	3.2399999999999998
27	protein2	2.97
27	protein3	2.7
27	protein4	2.4299999999999997
27	protein5	2.16
27	protein6	1.8900000000000001
27	protein7	1.6199999999999999
27	protein8	1.35
27	protein9	1.08
27	protein10	0.8099999999999999
28	protein1	3.36
28	protein2	3.08
28	protein3	2.8000000000000003
28	protein4	2.52
28	protein5	2.24
28	protein6	1.9600000000000002
28	protein7	1.68
28	protein8	1.4000000000000001
28	protein9	1.12
28	protein10	0.84
29	protein1	3.48
29	protein2	3.19
29	protein3	2.9000000000000004
29	protein4	2.61
29	protein5	2.32
29	protein6	2.0300000000000002
29	protein7	1.74
29	protein8	1.4500000000000002
29	protein9	1.16
29	protein10	0.87
30	protein1	3.5999999999999996
30	protein2	3.3
30	protein3	3.0
30	protein4	2.6999999999999997
30	protein5	2.4
30	protein6	2.1
30	protein7	1.7999999999999998
30	protein8	1.5
30	protein9	1.2
30	protein10	0.8999999999999999
31	protein1	3.7199999999999998
31	protein2	3.41
31	protein3	3.1
31	protein4	2.79
31	protein5	2.48
31	protein6	2.1700000000000004
31	protein7	1.8599999999999999
31	protein8	1.55
31	protein9	1.24
31	protein10	0.9299999999999999
32	protein1	3.84
32	protein2	3.52
32	protein3	3.2
32	protein4	2.88
32	protein5	2.56
32	protein6	2.24
32	protein7	1.92
32	protein8	1.6
32	protein9	1.28
32	protein10	0.96
33	protein1	3.96
33	protein2	3.63
33	protein3	3.3000000000000003
33	protein4	2.9699999999999998
33	protein5	2.64
33	protein6	2.31
33	protein7	1.98
33	protein8	1.6500000000000001
33	protein9	1.32
33	protein10	0.99
34	protein1	4.08
34	protein2	3.74
34	protein3	3.4000000000000004
34	protein4	3.06
34	protein5	2.72
34	protein6	2.3800000000000003
34	protein7	2.04
