time	species	protein	transcript	ribo_density
0	__protein10_rbs	0.0	0.0	0.0
0	__protein1_rbs	0.0	0.0	0.0
0	__protein2_rbs	0.0	0.0	0.0
0	__protein3_rbs	0.0	0.0	0.0
0	__protein4_rbs	0.0	0.0	0.0
0	__protein5_rbs	0.0	0.0	0.0
0	__protein6_rbs	0.0	0.0	0.0
0	__protein7_rbs	0.0	0.0	0.0
0	__protein8_rbs	0.0	0.0	0.0
0	__protein9_rbs	0.0	0.0	0.0
0	__ribosome	100.0	0.0	0.0
0	__rnase_site_ext	0.0	0.0	0.0
0	p0	1.0	0.0	0.0
0	p6	1.0	0.0	0.0
0	r9	0.0	0.0	0.0
0	rnapol	4.0	0.0	0.0
1	__protein10_rbs	0.0	0.0	0.0
1	__protein1_rbs	0.0	0.0	0.0
1	__protein2_rbs	0.0	0.0	0.0
1	__protein3_rbs	0.0	0.0	0.0
1	__protein4_rbs	0.0	0.0	0.0
1	__protein5_rbs	0.0	0.0	0.0
1	__protein6_rbs	0.0	0.0	0.0
1	__protein7_rbs	0.0	0.0	0.0
1	__protein8_rbs	0.0	0.0	0.0
1	__protein9_rbs	0.0	0.0	0.0
1	__ribosome	100.0	0.0	0.0
1	__rnase_site_ext	1.3	0.0	0.0
1	p0	0.4	0.0	0.0
1	p6	0.6	0.0	0.0
1	r9	0.0	0.0	0.0
1	rnapol	2.4	0.0	0.0
2	__protein10_rbs	0.0	0.0	0.0
2	__protein1_rbs	0.6	0.0	0.0
2	__protein2_rbs	0.0	0.0	0.0
2	__protein3_rbs	0.0	0.0	0.0
2	__protein4_rbs	0.0	0.0	0.0
2	__protein5_rbs	0.0	0.0	0.0
2	__protein6_rbs	0.0	0.0	0.0
2	__protein7_rbs	0.0	0.0	0.0
2	__protein8_rbs	0.0	0.0	0.0
2	__protein9_rbs	0.0	0.0	0.0
2	__ribosome	99.5	0.0	0.0
2	__rnase_site_ext	2.4	0.0	0.0
2	p0	0.4	0.0	0.0
2	p6	0.9	0.0	0.0
2	protein1	0.0	0.8	0.2
2	protein7	0.0	0.3	0.3
2	r9	0.0	0.0	0.0
2	rnapol	1.4	0.0	0.0
3	__protein10_rbs	0.0	0.0	0.0
3	__protein1_rbs	1.0	0.0	0.0
3	__protein2_rbs	0.0	0.0	0.0
3	__protein3_rbs	0.0	0.0	0.0
3	__protein4_rbs	0.0	0.0	0.0
3	__protein5_rbs	0.0	0.0	0.0
3	__protein6_rbs	0.0	0.0	0.0
3	__protein7_rbs	0.1	0.0	0.0
3	__protein8_rbs	0.0	0.0	0.0
3	__protein9_rbs	0.0	0.0	0.0
3	__ribosome	98.3	0.0	0.0
3	__rnase_site_ext	3.2	0.0	0.0
3	p0	0.2	0.0	0.0
3	p6	0.9	0.0	0.0
3	protein1	0.0	1.8	0.6
3	protein7	0.0	0.5	0.7
3	r9	0.0	0.0	0.0
3	rnapol	0.4	0.0	0.0
4	__protein10_rbs	0.0	0.0	0.0
4	__protein1_rbs	0.5	0.0	0.0
4	__protein2_rbs	0.0	0.0	0.0
4	__protein3_rbs	0.0	0.0	0.0
4	__protein4_rbs	0.0	0.0	0.0
4	__protein5_rbs	0.0	0.0	0.0
4	__protein6_rbs	0.0	0.0	0.0
4	__protein7_rbs	0.3	0.0	0.0
4	__protein8_rbs	0.0	0.0	0.0
4	__protein9_rbs	0.0	0.0	0.0
4	__ribosome	96.3	0.0	0.0
4	__rnase_site_ext	3.8	0.0	0.0
4	p0	0.7	0.0	0.0
4	p6	1.0	0.0	0.0
4	protein1	0.0	2.5	1.0833333
4	protein7	0.0	0.6	1.0
4	r9	0.0	0.0	0.0
4	rnapol	0.0	0.0	0.0
5	__protein10_rbs	0.0	0.0	0.0
5	__protein1_rbs	1.4	0.0	0.0
5	__protein2_rbs	0.0	0.0	0.0
5	__protein3_rbs	0.0	0.0	0.0
5	__protein4_rbs	0.0	0.0	0.0
5	__protein5_rbs	0.0	0.0	0.0
5	__protein6_rbs	0.0	0.0	0.0
5	__protein7_rbs	0.0	0.0	0.0
5	__protein8_rbs	0.0	0.0	0.0
5	__protein9_rbs	0.0	0.0	0.0
5	__ribosome	94.2	0.0	0.0
5	__rnase_site_ext	3.9	0.0	0.0
5	p0	1.0	0.0	0.0
5	p6	1.0	0.0	0.0
