time	species	transcript
1	protein1	0.1
1	protein2	0.15
1	protein3	0.05
2	protein1	0.2
2	protein2	0.3
2	protein3	0.1
3	protein1	0.30000000000000004
3	protein2	0.44999999999999996
3	protein3	0.15000000000000002
4	protein1	0.4
4	protein2	0.6
4	protein3	0.2
5	protein1	0.5
5	protein2	0.75
5	protein3	0.25
6	protein1	0.6000000000000001
6	protein2	0.8999999999999999
6	protein3	0.30000000000000004
7	protein1	0.7000000000000001
7	protein2	1.05
7	protein3	0.35000000000000003
8	protein1	0.8
8	protein2	1.2
8	protein3	0.4
9	protein1	0.9
9	protein2	1.3499999999999999
9	protein3	0.45
10	protein1	1.0
10	protein2	1.5
10	protein3	0.5
11	protein1	1.1
11	protein2	1.65
11	protein3	0.55
12	protein1	1.2000000000000002
12	protein2	1.7999999999999998
12	protein3	0.6000000000000001
13	protein1	1.3
13	protein2	1.95
13	protein3	0.65
14	protein1	1.4000000000000001
14	protein2	2.1
14	protein3	0.7000000000000001
15	protein1	1.5
15	protein2	2.25
15	protein3	0.75
16	protein1	1.6
16	protein2	2.4
16	protein3	0.8
17	protein1	1.7000000000000002
17	protein2	2.55
17	protein3	0.8500000000000001
18	protein1	1.8
18	protein2	2.6999999999999997
18	protein3	0.9
19	protein1	1.9000000000000001
19	protein2	2.85
19	protein3	0.9500000000000001
20	protein1	2.0
20	protein2	3.0
20	protein3	1.0
21	protein1	2.1
21	protein2	3.15
21	protein3	1.05
22	protein1	2.2
22	protein2	3.3
22	protein3	1.1
23	protein1	2.3000000000000003
23	protein2	3.4499999999999997
23	protein3	1.1500000000000001
24	protein1	2.4000000000000004
24	protein2	3.5999999999999996
24	protein3	1.2000000000000002
25	protein1	2.5
25	protein2	3.75
25	protein3	1.25
26	protein1	2.6
26	protein2	3.9
26	protein3	1.3
27	protein1	2.7
27	protein2	4.05
27	protein3	1.35
28	protein1	2.8000000000000003
28	protein2	4.2
28	protein3	1.4000000000000001
29	protein1	2.9000000000000004
29	protein2	4.35
29	protein3	1.4500000000000002
30	protein1	3.0
30	protein2	4.5
30	protein3	1.5
31	protein1	3.1
31	protein2	4.6499999999999995
31	protein3	1.55
32	protein1	3.2
32	protein2	4.8
32	protein3	1.6
33	protein1	3.3000000000000003
33	protein2	4.95
33	protein3	1.6500000000000001
34	protein1	3.4000000000000004
34	protein2	5.1
34	protein3	1.7000000000000002
35	protein1	3.5
35	protein2	5.25
35	protein3	1.75
36	protein1	3.6
36	protein2	5.3999999999999995
36	protein3	1.8
37	protein1	3.7
37	protein2	5.55
37	protein3	1.85
38	protein1	3.8000000000000003
38	protein2	5.7
38	protein3	1.9000000000000001
39	protein1	3.9000000000000004
39	protein2	5.85
39	protein3	1.9500000000000002
40	protein1	4.0
40	protein2	6.0
40	protein3	2.0
41	protein1	4.1000000000000005
41	protein2	6.1499999999999995
41	protein3	2.0500000000000003
42	protein1	4.2
42	protein2	6.3
42	protein3	2.1
43	protein1	4.3
43	protein2	6.45
43	protein3	2.15
44	protein1	4.4
44	protein2	6.6
44	protein3	2.2
45	protein1	4.5
45	protein2	6.75
45	protein3	2.25
46	protein1	4.6000000000000005
46	protein2	6.8999999999999995
46	protein3	2.3000000000000003
47	protein1	4.7
47	protein2	7.05
47	protein3	2.35
48	protein1	4.800000000000001
48	protein2	7.199999999999999
48	protein3	2.4000000000000004
49	protein1	4.9
49	protein2	7.35
49	protein3	2.45
50	protein1	5.0
50	protein2	7.5
50	protein3	2.5
51	protein1	5.1000000000000005
51	protein2	7.6499999999999995
51	protein3	2.5500000000000003
52	protein1	5.2
52	protein2	7.8
52	protein3	2.6
53	protein1	5.300000000000001
53	protein2	7.949999999999999
53	protein3	2.6500000000000004
54	protein1	5.4
54	protein2	8.1
54	protein3	2.7
55	protein1	5.5
55	protein2	8.25
55	protein3	2.75
56	protein1	5.6000000000000005
56	protein2	8.4
56	protein3	2.8000000000000003
57	protein1	5.7
57	protein2	8.549999999999999
57	protein3	2.85
58	protein1	5.800000000000001
58	protein2	8.7
58	protein3	2.9000000000000004
59	protein1	5.9
59	protein2	8.85
59	protein3	2.95
60	protein1	6.0
60	protein2	9.0
60	protein3	3.0
61	protein1	6.1000000000000005
61	protein2	9.15
61	protein3	3.0500000000000003
62	protein1	6.2
62	protein2	9.299999999999999
62	protein3	3.1
63	protein1	6.300000000000001
63	protein2	9.45
63	protein3	3.1500000000000004
64	protein1	6.4
64	protein2	9.6
64	protein3	3.2
65	protein1	6.5
65	protein2	9.75
65	protein3	3.25
66	protein1	6.6000000000000005
66	protein2	9.9
66	protein3	3.3000000000000003
67	protein1	6.7
67	protein2	10.049999999999999
67	protein3	3.35
68	protein1	6.800000000000001
68	protein2	10.2
68	protein3	3.4000000000000004
69	protein1	6.9
69	protein2	10.35
69	protein3	3.45
70	protein1	7.0
70	protein2	10.5
70	protein3	3.5
71	protein1	7.1000000000000005
71	protein2	10.65
71	protein3	3.5500000000000003
72	protein1	7.2
72	protein2	10.799999999999999
72	protein3	3.6
73	protein1	7.300000000000001
73	protein2	10.95
73	protein3	3.6500000000000004
74	protein1	7.4
74	protein2	11.1
74	protein3	3.7
75	protein1	7.5
75	protein2	11.25
75	protein3	3.75
76	protein1	7.6000000000000005
76	protein2	11.4
76	protein3	3.8000000000000003
77	protein1	7.7
77	protein2	11.549999999999999
77	protein3	3.85
78	protein1	7.800000000000001
78	protein2	11.7
78	protein3	3.9000000000000004
79	protein1	7.9
79	protein2	11.85
79	protein3	3.95
80	protein1	8.0
80	protein2	12.0
80	protein3	4.0
81	protein1	8.1
81	protein2	12.15
81	protein3	4.05
82	protein1	8.200000000000001
82	protein2	12.299999999999999
82	protein3	4.1000000000000005
83	protein1	8.3
83	protein2	12.45
83	protein3	4.15
84	protein1	8.4
84	protein2	12.6
84	protein3	4.2
85	protein1	8.5
85	protein2	12.75
85	protein3	4.25
86	protein1	8.6
86	protein2	12.9
86	protein3	4.3
87	protein1	8.700000000000001
87	protein2	13.049999999999999
87	protein3	4.3500000000000005
88	protein1	8.8
88	protein2	13.2
88	protein3	4.4
89	protein1	8.9
89	protein2	13.35
89	protein3	4.45
90	protein1	9.0
90	protein2	13.5
90	protein3	4.5
91	protein1	9.1
91	protein2	13.65
91	protein3	4.55
92	protein1	9.200000000000001
92	protein2	13.799999999999999
92	protein3	4.6000000000000005
93	protein1	9.3
93	protein2	13.95
93	protein3	4.65
94	protein1	9.4
94	protein2	14.1
94	protein3	4.7
95	protein1	9.5
95	protein2	14.25
95	protein3	4.75
96	protein1	9.600000000000001
96	protein2	14.399999999999999
96	protein3	4.800000000000001
97	protein1	9.700000000000001
97	protein2	14.549999999999999
97	protein3	4.8500000000000005
98	protein1	9.8
98	protein2	14.7
98	protein3	4.9
